[TRAIN] epoch: 1, iteration: 1 (mini-batch) loss: 2.41066, curr_loss: 2.41066, acc: 0.10000 
[TRAIN] epoch: 81, iteration: 1 (mini-batch) loss: 0.73100, curr_loss: 0.73100, acc: 0.70000 
[TRAIN] epoch: 82, iteration: 1 (mini-batch) loss: 0.73084, curr_loss: 0.73084, acc: 0.70000 
[TRAIN] epoch: 83, iteration: 1 (mini-batch) loss: 0.73074, curr_loss: 0.73074, acc: 0.70000 
[TRAIN] epoch: 84, iteration: 1 (mini-batch) loss: 0.73065, curr_loss: 0.73065, acc: 0.70000 
[TRAIN] epoch: 85, iteration: 1 (mini-batch) loss: 0.73055, curr_loss: 0.73055, acc: 0.70000 
[TRAIN] epoch: 86, iteration: 1 (mini-batch) loss: 0.73046, curr_loss: 0.73046, acc: 0.70000 
[TRAIN] epoch: 87, iteration: 1 (mini-batch) loss: 0.73036, curr_loss: 0.73036, acc: 0.70000 
[TRAIN] epoch: 88, iteration: 1 (mini-batch) loss: 0.73032, curr_loss: 0.73032, acc: 0.70000 
[TRAIN] epoch: 89, iteration: 1 (mini-batch) loss: 0.73024, curr_loss: 0.73024, acc: 0.70000 
[TRAIN] epoch: 90, iteration: 1 (mini-batch) loss: 0.73012, curr_loss: 0.73012, acc: 0.70000 
[TRAIN] epoch: 91, iteration: 1 (mini-batch) loss: 0.73008, curr_loss: 0.73008, acc: 0.70000 
[TRAIN] epoch: 92, iteration: 1 (mini-batch) loss: 0.72997, curr_loss: 0.72997, acc: 0.70000 
[TRAIN] epoch: 93, iteration: 1 (mini-batch) loss: 0.72990, curr_loss: 0.72990, acc: 0.70000 
[TRAIN] epoch: 94, iteration: 1 (mini-batch) loss: 0.72983, curr_loss: 0.72983, acc: 0.70000 
[TRAIN] epoch: 95, iteration: 1 (mini-batch) loss: 0.72975, curr_loss: 0.72975, acc: 0.70000 
[TRAIN] epoch: 96, iteration: 1 (mini-batch) loss: 0.72971, curr_loss: 0.72971, acc: 0.70000 
[TRAIN] epoch: 97, iteration: 1 (mini-batch) loss: 0.72960, curr_loss: 0.72960, acc: 0.70000 
[TRAIN] epoch: 98, iteration: 1 (mini-batch) loss: 0.72956, curr_loss: 0.72956, acc: 0.70000 
[TRAIN] epoch: 99, iteration: 1 (mini-batch) loss: 0.72950, curr_loss: 0.72950, acc: 0.70000 
[TRAIN] epoch: 100, iteration: 1 (mini-batch) loss: 0.72944, curr_loss: 0.72944, acc: 0.70000 
[TRAIN] epoch: 101, iteration: 1 (mini-batch) loss: 0.72939, curr_loss: 0.72939, acc: 0.70000 
